param;value
filename;./inputData/BrasilMG30n.car
base_seed;1
nRuns;51
iterations;150
antsN;50
stagnation;30
favorites;20
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.2
betaCars;1.2
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;1
q0Start;0.2
q0End;0.9
eliteKAnts;7
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=3,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=3,run9=3,run10=3,run11=4,run12=4,run13=4,run14=3,run15=4,run16=4,run17=4,run18=3,run19=3,run20=4,run21=4,run22=4,run23=4,run24=4,run25=4,run26=4,run27=4,run28=3,run29=3,run30=4,run31=4,run32=3,run33=4,run34=3,run35=3,run36=4,run37=3,run38=4,run39=4,run40=3,run41=4,run42=4,run43=4,run44=4,run45=4,run46=3,run47=4,run48=4,run49=4,run50=4
lkCalls;run0=3,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=3,run9=3,run10=3,run11=4,run12=4,run13=4,run14=3,run15=4,run16=4,run17=4,run18=3,run19=3,run20=4,run21=4,run22=4,run23=4,run24=4,run25=4,run26=4,run27=4,run28=3,run29=3,run30=4,run31=4,run32=3,run33=4,run34=3,run35=3,run36=4,run37=3,run38=4,run39=4,run40=3,run41=4,run42=4,run43=4,run44=4,run45=4,run46=3,run47=4,run48=4,run49=4,run50=4
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=3,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=3,run9=3,run10=3,run11=4,run12=4,run13=4,run14=3,run15=4,run16=4,run17=4,run18=3,run19=3,run20=4,run21=4,run22=4,run23=4,run24=4,run25=4,run26=4,run27=4,run28=3,run29=3,run30=4,run31=4,run32=3,run33=4,run34=3,run35=3,run36=4,run37=3,run38=4,run39=4,run40=3,run41=4,run42=4,run43=4,run44=4,run45=4,run46=3,run47=4,run48=4,run49=4,run50=4
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=70.12%,run1=63.82%,run2=65.74%,run3=64.04%,run4=62.99%,run5=66.54%,run6=66.03%,run7=65.69%,run8=67.41%,run9=68.87%,run10=68.52%,run11=68.25%,run12=64.64%,run13=69.32%,run14=68.18%,run15=66.70%,run16=68.54%,run17=65.09%,run18=65.80%,run19=71.47%,run20=66.90%,run21=68.23%,run22=66.80%,run23=68.78%,run24=73.11%,run25=70.77%,run26=68.19%,run27=65.85%,run28=68.56%,run29=64.53%,run30=66.32%,run31=68.29%,run32=67.07%,run33=65.03%,run34=67.51%,run35=64.06%,run36=64.24%,run37=65.56%,run38=66.44%,run39=68.98%,run40=68.24%,run41=62.71%,run42=65.35%,run43=66.01%,run44=68.66%,run45=68.03%,run46=66.18%,run47=66.10%,run48=64.93%,run49=67.67%,run50=64.12%
cacheReasHitRate;run0=84.56%,run1=77.64%,run2=82.30%,run3=79.91%,run4=79.58%,run5=84.09%,run6=81.70%,run7=81.70%,run8=82.57%,run9=82.08%,run10=83.33%,run11=83.03%,run12=80.32%,run13=85.31%,run14=83.28%,run15=83.18%,run16=84.47%,run17=79.28%,run18=82.32%,run19=86.37%,run20=82.77%,run21=84.14%,run22=82.49%,run23=84.10%,run24=85.56%,run25=85.07%,run26=84.75%,run27=81.80%,run28=83.90%,run29=80.73%,run30=83.59%,run31=83.17%,run32=82.49%,run33=81.16%,run34=82.77%,run35=80.09%,run36=78.97%,run37=81.08%,run38=82.32%,run39=84.59%,run40=83.34%,run41=79.12%,run42=81.61%,run43=81.63%,run44=85.08%,run45=84.36%,run46=80.91%,run47=81.95%,run48=80.81%,run49=82.97%,run50=80.38%
lkSuccessRate;run0=0.00% (cache:70.1%),run1=0.00% (cache:63.8%),run2=0.00% (cache:65.7%),run3=0.00% (cache:64.0%),run4=0.00% (cache:63.0%),run5=0.00% (cache:66.5%),run6=0.00% (cache:66.0%),run7=0.00% (cache:65.7%),run8=0.00% (cache:67.4%),run9=0.00% (cache:68.9%),run10=0.00% (cache:68.5%),run11=0.00% (cache:68.3%),run12=0.00% (cache:64.6%),run13=0.00% (cache:69.3%),run14=0.00% (cache:68.2%),run15=0.00% (cache:66.7%),run16=0.00% (cache:68.5%),run17=0.00% (cache:65.1%),run18=0.00% (cache:65.8%),run19=0.00% (cache:71.5%),run20=0.00% (cache:66.9%),run21=0.00% (cache:68.2%),run22=0.00% (cache:66.8%),run23=0.00% (cache:68.8%),run24=0.00% (cache:73.1%),run25=0.00% (cache:70.8%),run26=0.00% (cache:68.2%),run27=0.00% (cache:65.9%),run28=0.00% (cache:68.6%),run29=0.00% (cache:64.5%),run30=0.00% (cache:66.3%),run31=0.00% (cache:68.3%),run32=0.00% (cache:67.1%),run33=0.00% (cache:65.0%),run34=0.00% (cache:67.5%),run35=0.00% (cache:64.1%),run36=0.00% (cache:64.2%),run37=0.00% (cache:65.6%),run38=0.00% (cache:66.4%),run39=0.00% (cache:69.0%),run40=0.00% (cache:68.2%),run41=0.00% (cache:62.7%),run42=0.00% (cache:65.3%),run43=0.00% (cache:66.0%),run44=0.00% (cache:68.7%),run45=0.00% (cache:68.0%),run46=0.00% (cache:66.2%),run47=0.00% (cache:66.1%),run48=0.00% (cache:64.9%),run49=0.00% (cache:67.7%),run50=0.00% (cache:64.1%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
20;2773.3;2432.7;3147.8;276.0;274.0;275.0;271.0;271.0;271.0;274.0;271.0;273.0;273.0;273.0;274.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;274.0;273.0;271.0;272.0;273.0;271.0;273.0;271.0;271.0;272.0;271.0;273.0;273.0;272.0;271.0;273.0;273.0;271.0;271.0;274.0;274.0;275.0;274.0;273.0;276.0;271.0;273.0;271.0;273.0;275.0;271.0;271.0;271.0;271.0;273.0;273.0;274.0;276.0;272.5
21;2916.0;2571.1;3326.0;276.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;273.0;273.0;274.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;274.0;273.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;272.0;271.0;273.0;273.0;272.0;271.0;272.0;273.0;271.0;271.0;274.0;274.0;275.0;274.0;273.0;272.0;271.0;273.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;272.0;273.0;274.0;276.0;272.3
22;3054.2;2704.5;3483.1;276.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;273.0;273.0;274.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;274.0;274.0;275.0;271.0;271.0;272.0;271.0;273.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;273.0;274.0;276.0;272.0
23;3186.4;2839.4;3660.3;276.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;273.0;273.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;274.0;274.0;275.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;276.0;271.9
24;3312.0;2940.3;3805.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;274.0;274.0;275.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;275.0;271.8
25;3434.1;3058.6;3972.7;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;274.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;275.0;271.7
26;3548.5;3147.9;4080.1;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;274.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.5;273.0;275.0;271.7
27;3657.3;3226.4;4195.1;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
28;3760.6;3304.4;4295.6;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
29;3863.4;3385.4;4433.9;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
30;3961.2;3455.2;4539.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
31;4057.6;3528.4;4637.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
32;4150.8;3597.8;4726.7;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;273.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
33;4241.3;3667.0;4819.5;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
34;4333.2;3735.9;4923.7;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
35;4424.3;3804.7;5028.3;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
36;4513.4;3873.2;5114.5;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
37;4602.0;3941.6;5211.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
38;4692.1;4010.0;5303.2;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
39;4782.7;4078.4;5399.9;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
40;4874.6;4146.9;5486.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
41;4965.7;4215.3;5586.4;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
42;5057.3;4284.0;5704.7;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
43;5149.9;4352.4;5807.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
44;5245.4;4420.9;5899.2;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
45;5346.6;4489.8;5996.6;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
46;5446.4;4558.7;6089.4;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
47;5548.9;4650.8;6189.7;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
48;5655.2;4742.5;6310.4;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
49;5768.6;4834.1;6440.9;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
50;5883.3;4991.2;6559.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
51;6003.2;5083.8;6687.1;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
52;6125.7;5176.2;6929.8;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.6
53;6238.7;5268.5;7043.9;274.0;271.0;275.0;271.0;271.0;271.0;273.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;272.0;271.0;273.0;273.0;271.0;271.0;272.0;271.0;271.0;271.0;273.0;274.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;275.0;271.5
